Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_82848	9.77688871	8.256290625	0.45365	1	#B0E0E6
gene_id_82842	20.67683548	18.73015625	6.318841667	1	#B0E0E6
gene_id_98700	12.47766613	10.33334844	2.834611111	1	#B0E0E6
gene_id_82500	12.26045161	11.21373438	1.347630556	1	#B0E0E6
gene_id_82501	7.699419355	7.452328125	3.248905556	1	#B0E0E6
gene_id_90816	3.984132258	5.427965625	11.24155556	1	#B0E0E6
gene_id_117646	9.287630645	8.019384375	6.092675	1	#B0E0E6
gene_id_57969	22.16895161	19.07734375	10.84344444	1	#B0E0E6
gene_id_57965	8.514870968	8.165954688	4.444841667	1	#B0E0E6
gene_id_98028	16.46627903	13.71180313	3.616113889	1	#B0E0E6
gene_id_17732	5.352856452	6.207964063	12.80322778	1	#B0E0E6
gene_id_127715	6.939822581	6.770975	4.238858333	1	#B0E0E6
gene_id_98289	24.18169032	19.38446875	5.183269444	1	#B0E0E6
gene_id_117479	7.568029032	5.786734375	7.461469444	1	#B0E0E6
gene_id_98790	16.88380645	13.99672813	3.926988889	1	#B0E0E6
gene_id_32087	4.174930645	22.56838594	13.65958333	1	#B0E0E6
gene_id_32088	4.059914516	22.00499063	13.23775	1	#B0E0E6
